artist,name,url,yt_links,Genre0,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7
MGMT,Little Dark Age,https://www.last.fm/music/MGMT/_/Little+Dark+Age,https://www.youtube.com/watch?v=rtL5oMyBHPs,synthpop,indietronica,mgmt,indie,electronic,psychedelic,,
Taylor Swift,All Too Well (Taylor's Version),https://www.last.fm/music/Taylor+Swift/_/All+Too+Well+(Taylor%27s+Version),https://www.youtube.com/watch?v=9OQBDdNHmXo,pop,rock,pop rock,country rock,country pop,pop,country,female vocalists
Burl Ives,A Holly Jolly Christmas - Single Version,https://www.last.fm/music/Burl+Ives/_/A+Holly+Jolly+Christmas+-+Single+Version,https://www.youtube.com/watch?v=e_AMTbO50vU,christmas,holiday,an old fashioned christmas,yule,folk,oldies,christmas,
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,https://www.last.fm/music/Post+Malone/_/Sunflower+-+Spider-Man:+Into+the+Spider-Verse,https://www.youtube.com/watch?v=ApXoWvfEYVU,hip-hop,rap,swae lee,pop,hip-hop,rap,trap,
Nirvana,Smells Like Teen Spirit,https://www.last.fm/music/Nirvana/_/Smells+Like+Teen+Spirit,https://www.youtube.com/watch?v=hTWKbfoikeg,grunge,rock,alternative,90s,nirvana,grunge,rock,alternative
Harry Styles,Watermelon Sugar,https://www.last.fm/music/Harry+Styles/_/Watermelon+Sugar,https://www.youtube.com/watch?v=E07s5ZYygMg,pop,rock,2019,indie pop,rock,pop,alternative,
Ed Sheeran,Bad Habits,https://www.last.fm/music/Ed+Sheeran/_/Bad+Habits,https://www.youtube.com/watch?v=orJSJGHjBLI,2021,pop,ed sheeran,2020s,acoustic,british,singer-songwriter,
Taylor Swift,Enchanted,https://www.last.fm/music/Taylor+Swift/_/Enchanted,https://www.youtube.com/watch?v=vv3um0BlygY,country,pop,taylor swift,love,country pop,pop,country,female vocalists
Surf Curse,Freaks,https://www.last.fm/music/Surf+Curse/_/Freaks,https://www.youtube.com/watch?v=uL-D9CVj-Pc,lo-fi,surf rock,ambient,blngtwangbamlofi,lo-fi,surf,indie,
Kendrick Lamar,Money Trees,https://www.last.fm/music/Kendrick+Lamar/_/Money+Trees,https://www.youtube.com/watch?v=HJNa9Ih3haA,rap,hip-hop,hip hop,kendrick lamar,hip-hop,rap,hip hop,
Playboi Carti,Shoota (feat. Lil Uzi Vert),https://www.last.fm/music/Playboi+Carti/_/Shoota+(feat.+Lil+Uzi+Vert),https://www.youtube.com/watch?v=j3EwWAMWM6Q,emo rap,rap,trap,hip-hop,trap,hip-hop,cloud rap,
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep,https://www.youtube.com/watch?v=XFkzRNyygfk,alternative,alternative rock,rock,indie,radiohead,alternative,rock,alternative rock
Frank Ocean,White Ferrari,https://www.last.fm/music/Frank+Ocean/_/White+Ferrari,https://www.youtube.com/watch?v=Dlz_XHeUUis,rnb,soul,rnb,soul,hip-hop,,,
Taylor Swift,Style,https://www.last.fm/music/Taylor+Swift/_/Style,https://www.youtube.com/watch?v=-CmadmM5cOk,pop,synthpop,love at first listen,taylor swift,1989,pop,country,female vocalists
