artist,name,url,yt_links,Genre
Monsieur Periné,Nuestra Canción,https://www.last.fm/music/Monsieur+Perin%C3%A9/_/Nuestra+Canci%C3%B3n,https://www.youtube.com/watch?v=-9HM4VjNSAU,indie
Karol G,Tusa,https://www.last.fm/music/Karol+G/_/Tusa,https://www.youtube.com/watch?v=tbneQDc2H3I,pop
3OH!3,DONTTRUSTME,https://www.last.fm/music/3OH%213/_/DONTTRUSTME,https://www.youtube.com/watch?v=mdB3Oyd5HtU,pop
Joni Mitchell,River,https://www.last.fm/music/Joni+Mitchell/_/River,https://www.youtube.com/watch?v=F8MqF7xEGhs,vocalists
Rockwell,Somebody's Watching Me,https://www.last.fm/music/Rockwell/_/Somebody%27s+Watching+Me,https://www.youtube.com/watch?v=7YvAYIJSSZY,pop
Wilco,"Jesus, Etc.","https://www.last.fm/music/Wilco/_/Jesus,+Etc.",https://www.youtube.com/watch?v=USMsgVbf8Us,rock
Wiz Khalifa,See You Again (feat. Charlie Puth),https://www.last.fm/music/Wiz+Khalifa/_/See+You+Again+(feat.+Charlie+Puth),https://www.youtube.com/watch?v=RgKAFK5djSk,pop
Yeah Yeah Yeahs,Maps,https://www.last.fm/music/Yeah+Yeah+Yeahs/_/Maps,https://www.youtube.com/watch?v=oIIxlgcuQRU,rock
Ed Sheeran,Happier,https://www.last.fm/music/Ed+Sheeran/_/Happier,https://www.youtube.com/watch?v=8TpcBDJZsJA,pop
Roddy Ricch,more than a trend,https://www.last.fm/music/Roddy+Ricch/_/more+than+a+trend,https://www.youtube.com/watch?v=XCQHavfG-Dk,rap
Miley Cyrus,mother'S DaughTER,https://www.last.fm/music/Miley+Cyrus/_/mother%27S+DaughTER,https://www.youtube.com/watch?v=7T2RonyJ_Ts,pop
Marina Sena,Me Toca,https://www.last.fm/music/Marina+Sena/_/Me+Toca,https://www.youtube.com/watch?v=ZZvklZlkPNM,pop
Nirvana,Breed,https://www.last.fm/music/Nirvana/_/Breed,https://www.youtube.com/watch?v=ox_BG6sLPq8,rock
Sam Smith,How Do You Sleep?,https://www.last.fm/music/Sam+Smith/_/How+Do+You+Sleep%3F,https://www.youtube.com/watch?v=PmYypVozQb4,pop
Mac Miller,Hand me downs,https://www.last.fm/music/Mac+Miller/_/Hand+me+downs,https://www.youtube.com/watch?v=fYEXdCCpfVQ,rap
The Marías,Cariño,https://www.last.fm/music/The+Mar%C3%ADas/_/Cari%C3%B1o,https://www.youtube.com/watch?v=QHVp9xiUr9U,pop
Kanye West,The New Workout Plan,https://www.last.fm/music/Kanye+West/_/The+New+Workout+Plan,https://www.youtube.com/watch?v=Ua61XY84gGg,rap
Chuck Berry,Johnny B. Goode,https://www.last.fm/music/Chuck+Berry/_/Johnny+B.+Goode,https://www.youtube.com/watch?v=T38v3-SSGcM,rock
Cascada,Everytime We Touch,https://www.last.fm/music/Cascada/_/Everytime+We+Touch,https://www.youtube.com/watch?v=4G6QDNC4jPs,pop
B.o.B,Nothin' on You (feat. Bruno Mars),https://www.last.fm/music/B.o.B/_/Nothin%27+on+You+(feat.+Bruno+Mars),https://www.youtube.com/watch?v=8PTDv_szmL0,pop
Sean Paul,Temperature,https://www.last.fm/music/Sean+Paul/_/Temperature,https://www.youtube.com/watch?v=dW2MmuA1nI4,hip-hop
Mitski,Carry Me Out,https://www.last.fm/music/Mitski/_/Carry+Me+Out,https://www.youtube.com/watch?v=ddQOfqZZ5LM,pop
The Jesus and Mary Chain,Just Like Honey,https://www.last.fm/music/The+Jesus+and+Mary+Chain/_/Just+Like+Honey,https://www.youtube.com/watch?v=7EgB__YratE,indie
Arca,Ripples,https://www.last.fm/music/Arca/_/Ripples,https://www.youtube.com/watch?v=DcPRtc_ZoA4,electronic
Lana Del Rey,Dark But Just a Game,https://www.last.fm/music/Lana+Del+Rey/_/Dark+But+Just+a+Game,https://www.youtube.com/watch?v=_l0NeLJjL4I,pop
Queen,Thank God It's Christmas - Non-Album Single,https://www.last.fm/music/Queen/_/Thank+God+It%27s+Christmas+-+Non-Album+Single,https://www.youtube.com/watch?v=-BhIPx2gQW0,rock
Car Seat Headrest,Beach Life-in-Death,https://www.last.fm/music/Car+Seat+Headrest/_/Beach+Life-in-Death,https://www.youtube.com/watch?v=i12PHJRJTVA,rock
Jack Harlow,SUVs (Black on Black),https://www.last.fm/music/Jack+Harlow/_/SUVs+(Black+on+Black),https://www.youtube.com/watch?v=98JGfgnXE1E,rap
Beach House,Over and Over,https://www.last.fm/music/Beach+House/_/Over+and+Over,https://www.youtube.com/watch?v=sOLicFUmza0,pop
21 Savage,X (feat. Future),https://www.last.fm/music/21+Savage/_/X+(feat.+Future),https://www.youtube.com/watch?v=szKxAdvlCCM,rap
Halsey,Walls Could Talk,https://www.last.fm/music/Halsey/_/Walls+Could+Talk,https://www.youtube.com/watch?v=RBV3YFf76ow,pop
Kanye West,Ok Ok pt 2,https://www.last.fm/music/Kanye+West/_/Ok+Ok+pt+2,https://www.youtube.com/watch?v=RVPEzbhSjFw,rap
Juice WRLD,Feeling,https://www.last.fm/music/Juice+WRLD/_/Feeling,https://www.youtube.com/watch?v=9gHwgVRRCWg,rap
Harry Styles,cAROlina,https://www.last.fm/music/Harry+Styles/_/cAROlina,https://www.youtube.com/watch?v=BarDOBWuVg4,pop
SurFaces,Sunday Best,https://www.last.fm/music/SurFaces/_/Sunday+Best,https://www.youtube.com/watch?v=_83KqwEEGw4,pop
Imagine Dragons,On Top of the World,https://www.last.fm/music/Imagine+Dragons/_/On+Top+of+the+World,https://www.youtube.com/watch?v=w5tWYmIOWGk,rock
Demi Lovato,Met Him Last Night (feat. Ariana Grande),https://www.last.fm/music/Demi+Lovato/_/Met+Him+Last+Night+(feat.+Ariana+Grande),https://www.youtube.com/watch?v=aY7os8Qms6w,pop
aespa,I'll Make You Cry,https://www.last.fm/music/aespa/_/I%27ll+Make+You+Cry,https://www.youtube.com/watch?v=NBunx0VMvos,k-pop
HyunA,I'm Not Cool,https://www.last.fm/music/HyunA/_/I%27m+Not+Cool,https://www.youtube.com/watch?v=_yXEnhyOTQo,served
RM,everythingoes,https://www.last.fm/music/RM/_/everythingoes,https://www.youtube.com/watch?v=h7tOmPqRlOI,indie
Drake,Too Good,https://www.last.fm/music/Drake/_/Too+Good,https://www.youtube.com/watch?v=1lbKUiZv1fI,pop
Kendrick Lamar,good kid,https://www.last.fm/music/Kendrick+Lamar/_/good+kid,https://www.youtube.com/watch?v=EAybf3yVyQw,rap
CHUNG HA,Bicycle,https://www.last.fm/music/CHUNG+HA/_/Bicycle,https://www.youtube.com/watch?v=_waD9YW8Pa8,pop
LIL PEEP,Life is Beautiful,https://www.last.fm/music/LIL+PEEP/_/Life+is+Beautiful,https://www.youtube.com/watch?v=_PAkm9qwuVs,rap
